IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_15,"Beds in community residential facilities (per 100,000)",numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2017,true,,,,,,,,,,,,,0.28,,,,,,0.280,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,1.09,,,,,,1.093,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,1.33,,,,,,1.332,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,true,,,,,,,,,,,,,15.35,,,,,,15.348,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,,,,,,,,,,,,,41.83,,,,,,41.826,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,EUR,Europe,Country,FIN,Finland,Year,2017,true,,,,,,,,,,,,,79.13,,,,,,79.132,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,EUR,Europe,Country,FRA,France,Year,2017,true,,,,,,,,,,,,,92.15,,,,,,92.154,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2016,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,,,,0.1,,,,,,0.103,,,EN,2019-04-24T21:00:00.000Z
MH_15,"Beds in community residential facilities (per 100,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,0.15,,,,,,0.145,,,EN,2019-04-24T21:00:00.000Z
